"scientific_name","title","extract","image_url","wikipedia_url","license","image_flag"
"Fulica atra","Eurasian coot","The Eurasian coot, also known as the common coot or Australian coot, is a member of the rail and crake bird family, the Rallidae. It is found in Europe, Asia, Australia, New Zealand and parts of North Africa. It has a slaty-black body, a glossy black head and a white bill with a white frontal shield. The sexes are similar in appearance.","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Eurasian_Coot_2023_11_25_03.jpg/330px-Eurasian_Coot_2023_11_25_03.jpg","https://en.wikipedia.org/wiki/Eurasian_coot","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Hirundo neoxena","Welcome swallow","The welcome swallow is a small passerine bird in the swallow family Hirundinidae that is native to Australia and nearby islands. It has self-introduced into New Zealand in the middle of the twentieth century. It is very similar to the Pacific swallow with which it is often considered conspecific.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Hirundo_neoxena_risdon.jpg/330px-Hirundo_neoxena_risdon.jpg","https://en.wikipedia.org/wiki/Welcome_swallow","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Aythya australis","Hardhead","The hardhead, also known as the white-eyed duck, is the only true diving duck found in Australia. The common name ""hardhead"" has nothing to do with the density of the bird's skull, instead referring to the difficulty encountered by early taxidermists in processing the head. Hardheads are found in wetter, coastal regions of Australia, particularly in the south-east, but are known to disperse as far afield as New Guinea, New Zealand, and the Pacific Islands.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Aythya_australis_female_-_Hurstville_Golf_Course.jpg/330px-Aythya_australis_female_-_Hurstville_Golf_Course.jpg","https://en.wikipedia.org/wiki/Hardhead","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Sturnus vulgaris","Common starling","The common starling, also known simply as the starling in Great Britain and Ireland, and as European starling in North America, is a medium-sized passerine bird in the starling family, Sturnidae. It is about 20 cm (8 in) long and has glossy black plumage with a metallic sheen, which is speckled with white at some times of the year. The legs are pink and the bill is black in winter and yellow in summer; young birds have browner plumage than the adults. Its gift for mimicry has been noted in literature including the Mabinogion and the works of Pliny the Elder and William Shakespeare.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Toulouse_-_Sturnus_vulgaris_-_2012-02-26_-_3.jpg/330px-Toulouse_-_Sturnus_vulgaris_-_2012-02-26_-_3.jpg","https://en.wikipedia.org/wiki/Common_starling","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Microcarbo melanoleucos","Little pied cormorant","The little pied cormorant, little shag or kawaupaka is a common species of Australasian waterbird, found around the coasts, islands, estuaries, and inland waters of Australia, New Guinea, New Zealand, Timor-Leste and Indonesia, and around the islands of the south-western Pacific and the subantarctic. It is a small short-billed cormorant usually black above and white below with a yellow bill and small crest, although a mostly black white-throated form predominates in New Zealand. Three subspecies are recognised. Until recently, most authorities referred to this species as Phalacrocorax melanoleucos.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Microcarbo_melanoleucos_-_Boat_Harbour.jpg/330px-Microcarbo_melanoleucos_-_Boat_Harbour.jpg","https://en.wikipedia.org/wiki/Little_pied_cormorant","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Ptilotula penicillata","White-plumed honeyeater","The white-plumed honeyeater is a small passerine bird endemic to Australia. White-plumed honeyeaters are common around water and are often seen in backyards and suburbs with vegetation cover.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Ptilotula_penicillata_-_Glen_Davis.jpg/330px-Ptilotula_penicillata_-_Glen_Davis.jpg","https://en.wikipedia.org/wiki/White-plumed_honeyeater","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Tachybaptus novaehollandiae","Australasian grebe","The Australasian grebe is a small waterbird common on fresh water lakes and rivers in greater Australia, New Zealand and on nearby Pacific islands. At 25–27 cm (9.8–10.6 in) in length, it is one of the smallest members of the grebe family, along with the least grebe and little grebe.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Tachybaptus_novaehollandiae_-_Mulligan%27s_Flat.jpg/330px-Tachybaptus_novaehollandiae_-_Mulligan%27s_Flat.jpg","https://en.wikipedia.org/wiki/Australasian_grebe","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Acanthiza pusilla","Brown thornbill","The brown thornbill is a passerine bird usually found in eastern and south-eastern Australia, including Tasmania. It can grow up to 10 cm (3.9 in) long, and feeds on insects. It is brown, grey and white. The species has five subspecies.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Acanthiza_pusilla_-_Risdon_Brook.jpg/330px-Acanthiza_pusilla_-_Risdon_Brook.jpg","https://en.wikipedia.org/wiki/Brown_thornbill","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Trichoglossus haematodus","Coconut lorikeet","The coconut lorikeet, also known as the green-naped lorikeet, is a parrot in the family Psittaculidae. Seven species of lorikeets now recognised were once lumped together under Trichoglossus haematodus.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Trichoglossus_haematodus_-Jurong_Bird_Park%2C_Singapore_-Dec2009.jpg/330px-Trichoglossus_haematodus_-Jurong_Bird_Park%2C_Singapore_-Dec2009.jpg","https://en.wikipedia.org/wiki/Coconut_lorikeet","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Chroicocephalus novaehollandiae","Silver gull","The silver gull is a gull in Oceania. It is the most common gull of Australia. It has been found throughout the continent, but particularly at or near coastal areas. It is smaller than the Pacific gull, which also lives in Australia.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Silver_Gull_0A2A7855.jpg/330px-Silver_Gull_0A2A7855.jpg","https://en.wikipedia.org/wiki/Silver_gull","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
